,churn,tenure,contract_renewal,data_plan,data_usage,cust_serv_calls,day_mins,DayCalls,monthly_charges,overage_fee,roam_minutes,state
384,0,84,Yes,0,0,2,159.5,125,49,12.36,7.2,NH
385,0,137,Yes,0,0.45,4,230.2,113,62.5,11.02,10.7,NH
386,0,99,Yes,0,0,3,146.7,64,49,13.7,8.9,ME
387,0,54,Yes,0,0,1,210.5,102,54,10.23,8.5,VT
388,0,85,Yes,0,0,1,102,95,41,13.51,10.7,ME
389,0,150,Yes,0,0.36,3,126,99,45.6,11.93,10.2,VT
390,0,43,Yes,0,0,1,168.4,125,50,12.19,11.1,NH
391,0,35,Yes,0,0,0,105.6,129,40,12.91,8.7,NH
392,0,98,Yes,0,0,5,206.5,92,51,8.81,12.4,ME
393,0,112,Yes,0,0.27,2,217.1,76,57.7,10.26,9.4,ME
394,1,16,Yes,0,0,0,229.6,78,57,10.29,10.8,VT
395,0,98,Yes,1,2.62,0,278.3,89,82.2,4.67,9.7,ME
396,0,84,Yes,0,0,0,138.6,102,41,9.95,7.8,VT
397,1,94,Yes,0,0.18,1,234.4,103,65.8,13.97,2,VT
398,0,84,Yes,0,0,1,181.5,129,42,6.54,8.5,VT
399,1,66,Yes,0,0,1,167.3,91,48,11.5,10.6,NH
400,0,98,Yes,1,3.24,1,121,105,72.4,10.95,12,VT
401,0,74,Yes,0,0,0,221.1,124,48,5.54,10.6,VT
402,0,96,Yes,1,2.67,1,145.8,108,68.7,9.61,9.9,NH
403,0,119,Yes,0,0.34,1,222.8,122,55.4,8.16,11.2,NH
404,0,73,Yes,0,0,4,183.4,80,52,12.1,7.5,VT
405,0,92,No,0,0,0,264.3,91,59,8.05,9.3,ME
406,0,21,Yes,0,0,0,146,78,35,5.49,6.8,NH
407,1,122,Yes,0,0.29,4,157.1,134,45.9,9.25,8.5,NH
408,0,133,No,0,0,1,127.3,108,43,12.57,10.3,NH
409,0,145,Yes,0,0,2,187.9,110,49,9.85,4.8,NH
410,0,25,Yes,0,0.26,2,178.8,90,45.6,7.06,8.4,ME
411,0,64,Yes,0,0.28,2,97.2,80,35.8,9.31,10.4,NH
412,0,85,Yes,0,0.2,0,259.8,85,67,12.12,5.4,NH
413,0,126,Yes,0,0,3,256.5,112,61,9.98,7,NH
414,0,76,Yes,0,0,0,169.5,77,40,6.2,10,ME
415,1,113,Yes,0,0,2,239.7,47,65,14.15,8.7,ME
416,1,224,No,0,0.26,1,171.5,99,45.6,8,5,ME
417,0,117,Yes,0,0,0,239.9,84,56,8.74,9.8,ME
418,0,128,Yes,1,4.32,1,142.3,73,84.2,9.74,16,VT
419,0,115,Yes,0,0,2,184.1,98,60,16.35,7.5,NH
420,0,141,Yes,1,2.51,2,206.9,126,83.1,13.22,9.3,ME
421,0,51,Yes,0,0,1,259.9,114,60,8.81,15.3,ME
422,0,100,Yes,0,0,0,203.8,122,59,14.16,12.5,NH
423,0,96,Yes,1,2.78,3,248.8,124,82.8,7.02,10.3,NH
424,0,112,Yes,1,3.05,1,221.6,110,79.5,6.51,11.3,ME
425,0,129,No,0,0.39,1,192.9,131,52.9,9.28,10.9,VT
426,0,163,Yes,0,0,1,122.4,129,31,5.67,12.5,ME
427,0,67,Yes,1,2.59,1,104.9,65,62.9,10.82,9.6,VT
428,0,140,Yes,0,0,3,173.2,91,47,9.84,11.2,VT
429,0,49,Yes,0,0,2,119.4,69,44,13.67,12.4,NH
430,1,46,Yes,0,0,2,250.3,100,65,13.03,13.3,NH
431,0,148,Yes,0,0.39,1,178.3,98,58.9,14.13,11.4,ME
432,0,112,Yes,0,0,1,243.4,77,57,9.11,12.8,VT
433,0,78,Yes,0,0,2,155,106,42,8.77,11.8,VT
434,0,61,Yes,1,2.32,0,288.7,101,90.2,10.19,8.6,NH
435,0,58,Yes,1,3.02,1,240.4,80,81.2,5.95,11.2,ME
436,0,155,Yes,0,0,1,190.3,123,58,15.07,8,NH
437,1,100,Yes,0,0.32,0,278,76,66.2,8.84,8.3,NH
438,0,113,Yes,0,0,1,155,93,55,16.53,13.5,ME
439,0,81,Yes,0,0,2,153.5,99,43,9.88,6.3,VT
440,0,135,Yes,1,3.32,1,273.4,141,93.2,7.7,12.3,ME
441,0,99,Yes,0,0,0,155.3,93,49,13.29,12.4,ME
442,0,59,Yes,1,1.84,1,133.1,114,60.4,11.06,6.8,NH
443,0,135,Yes,0,0,1,246.8,129,58,9.39,12.6,NH
444,0,85,No,0,0,2,165.4,107,45,9.8,9.6,VT
445,0,70,Yes,0,0.31,0,59.5,103,35.1,12.86,11.1,NH
446,0,88,Yes,0,0,3,138.3,116,44,11.8,9.6,ME
447,0,55,Yes,0,0,2,286.7,100,61,6.72,6.9,ME
448,0,75,Yes,0,0.34,1,117.3,114,41.4,10.06,12.2,NH
449,0,79,Yes,1,1.7,4,264.3,79,80,10.14,6.3,NH
450,0,85,Yes,0,0.25,0,127.9,107,47.5,13.56,12.5,VT
451,0,86,Yes,1,2.65,0,225.5,107,86.5,12.32,9.8,VT
452,0,91,Yes,0,0,0,149,115,47,12.27,8.3,ME
453,0,149,Yes,1,3.86,1,198.9,77,96.6,13.7,14.3,VT
454,1,97,Yes,0,0,1,256.4,125,67,13.7,11.1,NH
455,1,88,Yes,0,0,1,264.8,124,66,12.27,14.8,ME
456,0,60,Yes,0,0,2,98.2,88,33,9.03,9.3,VT
457,0,54,Yes,0,0.16,2,159.8,99,51.6,13.2,9.7,ME
458,0,11,Yes,1,1.62,3,190.6,86,68.2,11.01,6,VT
459,0,109,Yes,0,0,0,184,120,42,6.02,11,ME
460,0,90,Yes,0,0,1,261.8,128,64,11.03,9.6,ME
461,0,115,Yes,0,0,3,147.9,109,45,11.42,9.6,VT
462,0,144,Yes,1,2.73,1,106.4,109,55.3,5.41,10.1,ME
463,0,91,Yes,0,0,0,133.7,75,40,9.77,5.9,NH
464,0,105,Yes,1,2.3,0,193.5,85,75,11.01,8.5,ME
465,1,71,No,0,0,3,178.2,113,45,8.39,13.6,VT
466,1,132,Yes,1,2.84,3,226.2,103,82.4,9.08,10.5,NH
467,0,112,Yes,0,0.38,1,170.4,103,49.8,10.01,11.6,NH
468,0,86,Yes,1,3,3,70.9,163,57,8.34,11.1,NH
469,0,41,Yes,1,4.64,2,194.4,63,101.4,12.75,17.2,NH
470,0,44,Yes,0,0,1,240.3,146,55,8.23,10.6,ME
471,0,78,Yes,0,0,3,75,116,34,12.44,9.5,NH
472,0,149,Yes,0,0,1,69.1,117,24,6.82,6.3,NH
473,1,72,Yes,1,1.67,4,96.6,59,60.7,15.77,6.2,NH
474,0,139,Yes,1,4,0,214.6,101,97,11.76,14.8,VT
475,0,74,Yes,0,0,3,148.5,111,38,7.33,9.9,VT
476,0,50,Yes,0,0.29,1,258.1,106,60.9,8.07,11.7,ME
477,0,141,Yes,1,2.05,3,149.7,112,60.5,8.13,7.6,ME
478,0,140,Yes,0,0,1,149.8,134,40,8.22,8.1,NH
479,0,99,Yes,0,0,2,190.4,102,46,7.91,11.2,VT
480,0,166,Yes,0,0.21,1,181.4,108,55.1,12.69,11.6,VT
481,0,124,Yes,0,0,1,151.1,123,42,9.37,5.3,VT
482,0,74,Yes,0,0,0,155.7,116,42,8.69,8.1,NH
483,0,117,Yes,0,0,2,149.9,95,48,12.81,13.3,ME
484,0,85,Yes,0,0,3,222.3,132,58,11.58,11,NH
485,0,36,Yes,1,1.81,0,149.4,111,55.1,6.59,6.7,VT
486,0,102,No,0,0,0,233.8,103,59,11.08,12.8,VT
487,0,76,Yes,0,0,0,204.2,100,60,14.63,10.5,ME
488,0,165,Yes,0,0,1,242.9,126,60,10.49,0,ME
489,0,130,Yes,0,0,1,150.4,119,46,11.53,12.3,VT
490,0,78,Yes,0,0,0,208.9,119,57,12.62,12.8,VT
491,1,55,No,0,0.32,1,191.9,91,58.2,12.81,14.3,ME
492,1,92,No,0,0.21,2,130.7,113,47.1,13.03,9.4,ME
493,0,129,Yes,1,1.59,2,119.6,104,60.9,13.94,5.9,VT
494,0,18,Yes,0,0,1,273.6,93,57,5.73,8.2,NH
495,0,161,No,0,0,2,156.1,114,42,9.02,11.1,ME
496,0,93,Yes,1,2.16,2,178.7,134,67.6,8.93,8,ME
497,0,144,Yes,0,0,2,177.5,93,55,14.37,11.9,VT
498,1,75,No,0,0,4,211.3,61,45,5.28,9.7,VT
499,0,95,Yes,0,0,1,175.2,91,51,12.22,7.5,VT
500,0,126,Yes,1,3.4,3,114.3,102,70,9.52,12.6,ME
501,0,124,Yes,1,2.03,1,251.4,104,82.3,11.26,7.5,NH
502,1,93,No,0,0,1,216.9,61,55,10.37,17.5,ME
503,0,109,No,1,2.51,0,217.2,138,75.1,7.28,9.3,VT
504,0,80,Yes,0,0,0,206.3,97,49,7.75,12.4,VT
505,0,41,Yes,0,0.19,1,159.3,66,39.9,6.3,11.1,VT
506,0,136,Yes,1,3.08,2,143.1,88,75.8,11.83,11.4,ME
507,1,92,Yes,0,0,3,154,122,55,16.49,5.6,VT
508,0,143,Yes,1,3.13,1,186.6,69,82.3,11.1,11.6,NH
509,1,118,Yes,1,2.59,5,170.8,114,71.9,9.98,9.6,ME
510,0,193,Yes,1,3.32,1,124,102,72.2,10.15,12.3,ME
511,0,73,Yes,0,0,3,198.3,94,58,13.97,14.8,VT
512,0,62,Yes,0,0,2,172.8,101,47,10.24,9.1,NH
513,0,30,Yes,1,1.78,0,217.4,74,73.8,10.69,6.6,ME
514,1,60,No,1,3.78,0,265.9,113,101.8,10.79,14,NH
515,0,148,Yes,1,4.73,1,93.6,137,80.3,9.69,17.5,VT
516,0,96,Yes,0,0,2,98.2,100,43,15.36,7.6,VT
517,0,52,Yes,0,0.35,2,214.7,68,53.5,7.93,9.4,VT
518,0,87,Yes,0,0,1,168.2,92,48,11.24,12.9,ME
519,0,41,Yes,0,0.21,3,202.9,97,50.1,7.69,9,VT
520,0,112,Yes,0,0,1,261.4,108,58,7.73,11.6,ME
521,1,88,Yes,0,0,4,73.3,86,27,8.07,8.2,VT
522,0,122,Yes,1,2.48,7,253.7,84,87.8,11.46,9.2,ME
523,0,61,Yes,0,0,2,45,108,21,7.57,9.8,ME
524,0,87,Yes,0,0.38,1,231.3,105,57.8,8.59,13,VT
525,0,176,Yes,0,0.25,2,47.4,125,25.5,8.39,10.5,VT
526,0,30,Yes,0,0,0,227.4,88,55,9.13,12.5,ME
527,0,95,Yes,1,3.21,0,40.9,126,51.1,6.67,11.9,VT
528,0,46,Yes,0,0,2,124.8,133,35,7.87,8.6,ME
529,0,100,No,0,0.19,0,68.5,110,42.9,16.86,12.1,ME
530,0,47,Yes,1,2.11,2,163.5,77,67.1,10.16,7.8,ME
531,0,77,Yes,0,0,2,163,112,47,10.96,6.7,NH
532,0,98,Yes,1,2.89,2,213.7,61,86.9,12.65,10.7,NH
533,0,125,Yes,1,1.46,1,201.3,117,52.6,2.11,5.4,NH
534,0,67,Yes,0,0.22,4,310.4,97,61.2,3.33,9.2,VT
535,0,194,Yes,0,0,1,48.4,101,33,14.06,18.2,NH
536,0,128,Yes,1,3.78,1,171.2,88,79.8,7.29,14,VT
537,0,190,Yes,1,2.3,0,166.5,93,67,9.15,8.5,NH
538,0,165,Yes,0,0,0,216.6,126,54,9.54,12.4,VT
539,0,59,Yes,0,0,2,107.8,113,37,10.83,9.9,NH
540,0,47,Yes,1,2.11,1,141.3,94,60.1,8.4,7.8,NH
541,0,150,Yes,1,1.78,0,209.9,77,67.8,7.9,6.6,NH
542,1,152,No,1,3.83,9,237.5,120,100.3,12.67,14.2,ME
543,0,26,Yes,0,0,3,234.5,109,59,10.83,3.5,VT
544,0,79,Yes,1,3.29,3,103.1,90,71.9,12.15,12.2,NH
545,0,95,Yes,1,3.21,1,129.5,106,76.1,12.45,11.9,NH
546,1,69,No,0,0,2,279.8,90,69,12.44,8.4,NH
547,1,95,No,1,2.78,5,136.8,91,68.8,10.04,10.3,NH
548,0,31,Yes,1,1.59,0,100.1,54,53.9,12.32,5.9,ME
549,0,121,Yes,1,2.73,4,237.1,63,85.3,10.28,10.1,VT
550,1,111,Yes,0,0,4,172.8,58,45,9.16,7.9,VT
551,0,157,Yes,0,0,2,224.5,111,56,10.04,11.5,NH
552,1,44,Yes,0,0.21,3,288.1,112,73.1,12.9,10.2,ME
553,0,61,No,0,0,2,78.2,103,30,9.8,10.1,ME
554,0,65,Yes,0,0,2,148.7,80,48,12.95,12.7,NH
555,0,74,Yes,1,3.54,2,194.6,84,79.4,6,13.1,VT
556,0,123,Yes,0,0,0,159.5,77,53,15.19,12,NH
557,0,58,Yes,1,2.57,1,194.5,110,77.7,10.69,9.5,NH
558,1,74,Yes,0,0,2,174.1,96,51,12.56,8.3,ME
559,0,125,Yes,0,0.39,2,131.8,97,38.9,6.84,7.7,NH
560,0,80,Yes,0,0,1,160.6,103,48,11.85,10.7,NH
561,0,53,Yes,1,1.94,0,146.8,107,71.4,15.5,7.2,ME
562,0,99,Yes,1,2.46,1,200.7,88,81.6,13.21,9.1,ME
563,0,99,Yes,0,0.33,1,145.6,106,37.3,4.92,10.9,VT
564,0,66,Yes,1,2.16,2,229.4,104,82.6,12.87,8,NH
565,0,97,Yes,0,0,3,211,76,52,9.45,4.7,VT
566,0,75,Yes,1,3.05,2,121.5,97,74.5,13.57,11.3,VT
567,0,85,No,0,0,2,216,73,53,9.41,3.6,VT
568,0,108,Yes,0,0,2,293,88,64,8.03,10,VT
569,1,133,No,1,4.16,2,221.1,137,102.6,13.25,15.4,ME
570,0,51,Yes,0,0,1,181.5,108,48,9.85,10.3,NH
571,0,186,Yes,1,3.92,2,74.3,107,67.2,8.87,14.5,NH
572,0,44,No,0,0,1,62.3,92,34,13.75,10.8,NH
573,0,64,Yes,1,2.43,3,228.6,88,84.3,12.43,9,VT
574,1,44,Yes,0,0.33,2,228.1,121,66.3,13.83,9.9,NH
575,0,114,Yes,1,3.83,1,309.9,90,108.3,10.02,14.2,ME
576,0,92,Yes,0,0.16,3,201.9,74,55.6,11.34,13.7,VT
577,0,110,Yes,0,0.29,2,149.8,112,43.9,9,11.7,NH
578,0,90,Yes,1,2.08,1,183.8,76,71.8,11.49,7.7,ME
579,0,72,Yes,1,4.46,1,186.7,108,105.6,16.75,16.5,VT
580,1,113,Yes,0,0,1,209.4,151,66,17.37,7.4,ME
581,0,171,Yes,1,2.75,3,223.2,77,81.5,9.16,10.2,NH
582,0,104,Yes,0,0,1,164.2,109,42,7.77,10.7,VT
583,0,165,Yes,0,0.13,1,150.5,75,43.3,9.66,10.3,NH
584,1,104,Yes,0,0,0,234.2,128,65,14.66,9.8,VT
585,0,110,Yes,0,0,1,55.3,102,24,8.24,10.2,VT
586,0,90,No,0,0,1,221.8,97,56,10.19,8.4,ME
587,0,114,Yes,0,0.4,1,169.6,85,38,2.95,7.4,ME
588,1,101,Yes,0,0,5,89.7,118,38,13.01,13.5,VT
589,0,117,Yes,1,2.32,1,80.2,81,56.2,10.95,8.6,ME
590,0,109,Yes,0,0.42,2,218.9,105,67.2,15,11.3,VT
591,0,82,Yes,0,0,1,125.7,96,40,10.38,12.9,NH
592,0,92,Yes,0,0.31,2,176.3,85,41.1,4.67,9.6,ME
593,0,82,Yes,1,2.57,2,207.2,111,82.7,12.71,9.5,VT
594,0,90,Yes,0,0,2,205.7,138,49,8.1,12.5,NH
595,0,87,Yes,1,0,1,151.4,95,39,7.62,0,VT
596,0,124,Yes,0,0,3,157.5,70,38,6.54,9.6,VT
597,0,39,Yes,0,0,2,160.4,68,36,5.13,9.1,ME
598,0,84,Yes,0,0,1,159,80,42,8.4,12.3,ME
599,0,75,Yes,1,2.48,0,214.1,62,78.8,10.05,9.2,VT
600,0,102,Yes,0,0,2,102.6,89,39,12.3,9.1,VT
601,1,62,No,0,0,0,159.7,86,44,9.88,13.9,VT
602,0,143,Yes,0,0.27,1,202.8,109,51.7,8.29,4.6,ME
603,0,53,Yes,0,0,3,57.5,95,33,13.28,11.6,ME
604,0,30,Yes,0,0,1,169.9,144,49,11.26,11.4,VT
605,1,112,Yes,0,0,2,335.5,77,76,10.63,12.7,ME
606,0,129,Yes,0,0,0,139.5,119,49,14.47,13.1,ME
607,0,63,Yes,1,1.78,1,142.3,107,52.8,5.94,6.6,NH
608,0,28,Yes,0,0,0,187.8,94,54,12.43,10.6,VT
609,0,111,Yes,0,0,3,146.2,55,48,13.08,8.7,NH
610,0,91,Yes,0,0,3,231.8,120,53,7.53,11.6,VT
611,0,90,Yes,0,0,1,193.7,83,47,7.71,12.7,ME
612,0,151,Yes,0,0.24,4,156.4,108,49.4,11.67,7.7,NH
613,1,105,No,1,3.56,1,220.7,82,92.6,10.89,13.2,VT
614,0,41,Yes,1,1.97,2,239.8,110,79.7,11.1,7.3,ME
615,0,48,Yes,1,2.16,1,172,111,68.6,10.01,8,VT
616,0,166,No,1,2.38,2,128.2,138,69.8,13.73,8.8,VT
617,0,79,Yes,0,0,3,130.2,119,47,14.55,14,VT
618,0,153,Yes,0,0,1,195.4,107,47,7.73,11.6,VT
619,1,110,No,0,0,0,293.3,79,66,9.43,14.5,ME
620,0,163,Yes,0,0,1,191.3,89,49,9.7,12.8,ME
621,0,126,Yes,0,0,1,122.4,88,34,7.19,11.5,ME
622,0,105,Yes,1,2.86,2,209.6,68,77.6,7.35,10.6,ME
623,0,172,Yes,0,0,3,215.7,140,50,7.32,7.1,ME
624,0,126,Yes,0,0,0,161.4,110,47,11.03,5.1,ME
625,0,97,Yes,0,0.27,3,144.2,91,46.7,11.34,13.8,ME
626,1,95,No,1,1.11,0,220.2,109,65.1,9.27,4.1,VT
627,0,87,Yes,0,0,4,256.2,105,58,8.04,7.4,ME
628,0,97,Yes,0,0,1,112.7,119,38,10.89,6.5,VT
629,1,76,Yes,0,0,0,299.5,125,71,11.34,13.7,VT
630,0,140,Yes,0,0,0,194.8,107,48,8.55,13.9,NH
631,0,169,Yes,0,0,0,100.8,112,37,11.5,9.5,NH
632,0,68,Yes,1,1.3,3,82.5,97,52,14.5,4.8,VT
633,0,122,Yes,1,4.21,2,146.4,104,75.1,4.49,15.6,VT
634,0,36,Yes,0,0,2,177.9,129,50,11.23,10.8,VT
635,0,120,Yes,1,2.75,5,153.5,84,70.5,9.7,10.2,NH
636,0,121,Yes,0,0,1,150.7,105,43,9.87,9.2,VT
637,0,64,Yes,1,2.03,0,180.1,106,62.3,6.38,7.5,NH
638,0,13,Yes,1,3.48,1,265.3,94,92.8,7.38,12.9,ME
639,0,106,Yes,0,0,0,128.6,83,34,6.7,11.4,VT
640,0,88,Yes,0,0,2,161.5,92,43,8.68,7.9,NH
641,0,74,Yes,0,0,1,165.3,120,45,9.93,9.8,VT
642,0,83,Yes,0,0,0,195,92,52,10.53,11,VT
643,0,49,Yes,0,0,0,213.8,79,59,13.26,15.6,VT
644,0,111,Yes,1,3.78,1,205.5,114,91.8,10.97,14,VT
645,0,50,Yes,1,2.3,3,252.9,112,82,8.9,8.5,NH
646,0,153,Yes,1,4.16,0,235.6,74,101.6,11.4,15.4,ME
647,0,88,Yes,0,0,1,192,91,44,6.38,7.5,NH
648,0,131,Yes,1,2.46,0,69.1,122,45.6,5.07,9.1,VT
649,1,79,Yes,0,0,3,261.7,97,63,10.53,6,NH
650,0,140,Yes,0,0,2,235.5,81,62,12.86,11.5,VT
651,0,105,Yes,0,0.38,1,213.4,100,57.8,10.25,9.5,NH
652,0,54,Yes,1,2.48,3,206.9,143,71.8,6.39,9.2,ME
653,0,87,Yes,1,2.3,3,263.8,65,77,5.17,8.5,VT
654,0,96,Yes,1,2.84,1,183.4,126,76.4,9.78,10.5,NH
655,1,79,Yes,0,0,5,157.6,85,44,9.71,9.4,ME
656,0,55,Yes,0,0,0,175.6,147,44,8.09,9.3,NH
657,0,130,Yes,0,0,2,242.5,101,50,5.14,9.3,NH
658,0,34,Yes,0,0,0,151,102,37,6.57,9.9,ME
659,0,139,Yes,0,0.29,1,138.1,103,40.9,8.23,8.3,VT
660,1,109,Yes,0,0,1,264.7,69,71,15.25,9.5,NH
661,0,65,Yes,1,3.24,1,282.3,70,93.4,7.6,12,VT
662,0,63,Yes,0,0.37,0,211.2,80,60.7,11.89,12.3,VT
663,0,152,Yes,0,0,3,197.1,126,45,6.51,7.4,NH
664,0,147,Yes,0,0,1,205.3,95,50,8.34,7.8,VT
665,0,112,Yes,1,2.48,2,181.8,110,75.8,11.41,9.2,NH
666,0,120,Yes,0,0,2,252,120,56,7.51,9.6,ME
667,0,27,Yes,0,0,0,193.8,102,44,5.95,9.2,VT
668,0,171,Yes,0,0,1,231.2,135,56,9.44,12.3,NH
669,0,101,Yes,1,4.19,0,200.1,108,92.9,9.45,15.5,ME
670,0,32,Yes,1,4.4,1,266.7,109,110,11.62,16.3,VT
671,0,3,Yes,1,3.21,2,118.1,117,71.1,11.08,11.9,VT
672,0,151,Yes,0,0.43,0,175.3,106,47.3,7.22,11.8,NH
673,0,60,Yes,0,0.35,3,125.1,99,46.5,12.44,11.2,ME
674,0,119,Yes,0,0.39,1,176.8,90,53.9,11.24,7.5,VT
675,0,43,Yes,0,0,1,241.9,101,53,6.47,5.9,NH
676,0,42,Yes,0,0,0,241.2,134,51,5.83,10.6,VT
677,0,84,Yes,0,0,1,217.1,99,57,11.8,9.4,NH
678,0,65,Yes,0,0.33,0,195.4,110,52.3,9.06,8.9,VT
679,1,75,No,0,0,1,222.4,78,66,16.35,8.7,NH
680,0,116,Yes,0,0,1,189.5,90,49,9.49,13.1,NH
681,0,107,Yes,0,0,0,123.1,100,35,7.92,9.3,ME
682,0,189,Yes,1,3.08,3,256.7,98,87.8,7.53,11.4,ME
683,0,123,Yes,0,0,1,159.1,94,48,12.08,6.5,ME
684,0,110,Yes,0,0.24,3,100.1,90,39.4,11.67,11.1,NH
685,0,63,Yes,1,2.32,1,30.9,113,45.2,9.35,8.6,ME
686,0,176,Yes,0,0,3,223.2,76,57,10.72,10.1,VT
687,0,108,Yes,0,0,1,187.4,101,49,10,12.6,ME
688,0,13,Yes,1,3.27,3,315.6,105,104.7,10.45,12.1,VT
689,0,71,Yes,0,0,1,277.5,104,59,6.59,8.2,ME
690,0,88,Yes,0,0,2,189.8,111,50,9.87,14.9,VT
691,0,137,Yes,0,0,1,147.2,119,42,9.64,10.2,VT
692,0,82,Yes,0,0,4,185.8,36,56,13.83,5.7,VT
693,0,92,Yes,1,2.16,3,155.4,110,64.6,9.43,8,VT
694,0,165,Yes,0,0,6,154.2,91,50,13.43,10.9,NH
695,0,96,Yes,0,0,1,97.6,98,26,5.28,11.6,ME
696,0,156,Yes,0,0.33,1,178.8,94,49.3,8.92,7.5,VT
697,0,63,Yes,0,0,0,149.3,104,49,13.68,9.1,VT
698,0,37,Yes,0,0,0,206,89,51,9.3,8.4,ME
699,0,98,Yes,0,0,0,216.8,86,54,9.54,11,ME
700,0,121,Yes,0,0,0,103.3,110,29,6.46,10.7,VT
701,0,94,Yes,0,0.15,0,139.4,95,39.5,7.96,7.7,ME
702,0,99,Yes,0,0,1,191.2,110,47,8.2,14.1,NH
703,0,163,Yes,1,2.81,1,160,104,72.1,9.47,10.4,NH
704,0,161,Yes,0,0.32,3,221.7,95,58.2,9.65,6.5,VT
705,0,99,Yes,0,0,1,62.9,81,31,11.55,8.5,VT
706,0,108,Yes,0,0,1,215.6,78,54,9.77,3.6,ME
707,0,84,Yes,1,2.05,3,165.3,97,68.5,11.18,7.6,ME
708,0,83,No,1,2.86,2,94.7,111,58.6,7.72,10.6,NH
709,0,139,Yes,0,0,2,203.2,81,48,7.63,9.7,ME
710,0,69,Yes,0,0.29,3,195.3,70,54.9,10.84,12.5,NH
711,0,129,Yes,0,0,4,143.7,114,50,14.89,11.4,ME
712,0,106,Yes,0,0.31,2,114.4,104,30.1,3.92,0,VT
713,0,158,Yes,0,0,2,222.8,101,56,10.15,6.9,NH
714,0,168,Yes,1,1.97,2,175.9,70,67.7,10.59,7.3,NH
715,1,115,No,0,0,1,249.9,95,64,12.13,15.3,NH
716,0,57,No,1,3.08,2,234.5,130,87.8,9.76,11.4,VT
717,0,67,Yes,0,0,1,210.7,116,55,10.96,7.2,ME
718,0,127,Yes,0,0,1,182.3,124,46,8.5,9.3,VT
719,0,78,Yes,0,0,2,190.3,88,49,9.73,11.7,VT
720,0,100,Yes,1,2,0,177.1,88,65,8.19,7.4,VT
721,1,103,Yes,1,2.94,6,87.2,92,59.4,8.47,10.9,ME
722,0,113,Yes,0,0,1,215.6,96,54,9.67,13.5,VT
723,0,78,Yes,0,0,3,137.4,109,44,11.88,14,VT
724,0,129,Yes,1,4.43,1,192.8,103,92.3,8.85,16.4,VT
725,0,57,Yes,0,0.2,2,149.3,100,45,10.01,11.9,NH
726,0,82,Yes,0,0,1,143.7,116,39,8.54,7.8,ME
727,0,64,Yes,0,0,1,224.8,111,55,9.5,9.2,NH
728,0,86,Yes,1,3.43,2,261.2,122,97.3,10.71,12.7,VT
729,0,151,Yes,1,3.62,0,196.5,98,85.2,8.79,13.4,ME
730,1,94,Yes,0,0,3,271.2,105,64,10.13,11.5,VT
731,0,90,Yes,0,0,2,207.2,121,61,14.63,8,ME
732,0,48,Yes,0,0,2,300.4,94,63,6.66,7.2,VT
733,0,85,Yes,1,2.57,2,229.6,123,76.7,6.62,9.5,ME
734,0,93,No,1,3.27,1,187.5,110,79.7,8.49,12.1,NH
735,0,169,No,0,0,3,57.1,98,27,9.99,6.5,ME
736,1,68,Yes,0,0,5,162.1,86,41,7.75,11,NH
737,1,91,No,0,0,2,145,89,40,8.79,16.7,NH
738,0,68,Yes,0,0,1,159.5,123,48,12.04,11.4,NH
739,0,101,Yes,0,0,1,190.7,72,51,10.43,8.8,VT
740,0,67,Yes,1,2.54,1,230.6,40,81.4,9.46,9.4,ME
741,0,66,Yes,0,0,0,34,133,30,13.93,11.5,ME
742,0,116,Yes,1,3.08,5,193.4,112,84.8,12.03,11.4,ME
743,0,158,Yes,0,0,1,202,126,49,8.18,10.4,NH
744,0,78,Yes,0,0,1,191.7,122,54,12.07,9.1,VT
745,0,119,Yes,1,1.78,1,161.3,97,66.8,12.52,6.6,VT
746,0,120,Yes,0,0.3,1,150.6,85,39,5.95,6.4,NH
747,0,155,Yes,0,0.34,1,184.6,102,52.4,9.8,7.8,NH
748,0,106,Yes,0,0,1,220.7,120,61,13.51,8.7,VT
749,0,87,No,0,0,1,167.3,119,46,9.93,11,ME
750,0,146,Yes,1,2.21,3,154,80,64.1,9.28,8.2,ME
751,0,101,Yes,1,2.73,0,121.1,116,64.3,9.32,10.1,NH
752,0,22,Yes,1,3.43,3,182.1,94,79.3,8.23,12.7,VT
753,0,90,Yes,0,0,2,109.6,88,31,6.88,11,ME
754,0,41,Yes,0,0.34,1,209.9,105,50.4,6.1,9.6,ME
755,0,69,Yes,0,0,2,167.5,76,50,12.11,11.4,NH
756,0,33,Yes,0,0,2,213.9,88,57,11.99,9.8,NH
757,0,112,Yes,0,0,1,115.8,108,41,12.17,13.1,NH
758,0,108,Yes,1,2.65,2,276.6,99,92.5,11.01,9.8,VT
759,0,136,Yes,1,2.57,2,179.4,88,71.7,9.06,9.5,NH
760,0,128,Yes,0,0,1,187.3,84,55,13.54,10.1,ME
761,0,27,Yes,0,0,2,201.2,128,54,11.36,8.4,VT
762,0,161,No,0,0,1,189.6,78,55,13.37,1.3,VT
763,0,33,Yes,1,4.05,0,186.8,124,94.5,13.05,15,ME
764,0,120,Yes,1,3.08,0,153.5,83,75.8,10.96,11.4,VT
765,0,113,Yes,0,0,2,187.6,97,50,10.41,8.7,ME
766,1,122,No,0,0,0,230.9,132,60,12.16,11,NH
767,0,148,Yes,1,4.1,2,244.9,150,93,5.9,15.2,NH
768,0,74,Yes,0,0,3,230.9,93,59,11.15,9.7,ME
